"","rowname","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","r","N2"
"564","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,21
"565","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,22
"566","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,22
"567","CEchoices[3]",-0.182695697962731,0.016751489283198,1.60215155974908,-1,-1,-1,-0.362335507641927,5.05010487118595,9147.45635817406,1.00060279908117,0.08,22
"568","lp__",-3.32829315340585,0.00895207167969385,0.762080511852671,-5.48578132392691,-3.52380578358387,-3.03442987293304,-2.830413056012,-2.77310041654965,7246.93906830958,1.00050964820012,0.08,22
"569","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,23
"570","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,23
"571","CEchoices[3]",-0.210714338896535,0.0162989795803763,1.57678675569914,-1,-1,-1,-0.115868493882363,4.12365165341377,9358.90621995611,1.00039887553564,0.08,23
"572","lp__",-3.32699189220562,0.00891108753086423,0.76709071981084,-5.50783763535562,-3.51933223891657,-3.02425127753798,-2.82778182169703,-2.77317120090576,7410.23597698474,1.00077299414844,0.08,23
"573","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,24
"574","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,24
"575","CEchoices[3]",-0.208427521651562,0.0166655622720841,1.59645419947222,-1,-1,-1,-0.569792745986583,5.29438199523849,9176.41372514509,1.00049090363019,0.08,24
"576","lp__",-3.32806134241266,0.0100804438474388,0.788136598110051,-5.55519483696903,-3.5048082276607,-3.02544028243662,-2.82873364082183,-2.77315153849862,6112.84917603267,1.00058885313591,0.08,24
"577","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,25
"578","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,25
"579","CEchoices[3]",-0.184069558688776,0.0173193149147945,1.63571761382018,-1,-1,-1,-0.337063108207812,4.40526235033155,8919.80258490422,1.00047761693411,0.08,25
"580","lp__",-3.33881457726237,0.00988700250931708,0.788001955388316,-5.57815414499642,-3.52911458408603,-3.02824918771347,-2.82821811833267,-2.77314180547334,6352.21664670832,1.00012911601769,0.08,25
"581","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,26
"582","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,26
"583","CEchoices[3]",-0.153466226208715,0.0172932417082522,1.65044387145903,-1,-1,-1,-0.115868493882363,4.5340869838018,9108.53843813768,1.00014768576343,0.08,26
"584","lp__",-3.34218056196227,0.00897058238400162,0.796068697315116,-5.57636061923795,-3.53343568968309,-3.03525775747962,-2.82979805034753,-2.77311873725493,7875.16779783746,1.00018315438864,0.08,26
"585","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,27
"586","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,27
"587","CEchoices[3]",-0.1672088556658,0.0175167314323061,1.65292607057793,-1,-1,-1,0.0946601470824559,4.65581427513328,8904.31912382338,0.999999391329576,0.08,27
"588","lp__",-3.34241092594887,0.00879339169198037,0.786456226729131,-5.59510783824869,-3.54156038221876,-3.03440170452116,-2.83224852406058,-2.773238397578,7999.01061394319,0.999947584452756,0.08,27
"589","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,28
"590","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,28
"591","CEchoices[3]",-0.180669832894874,0.0174864178619998,1.62906249954571,-1,-1,-1,-0.316491593904863,4.77102034666363,8679.08193782153,0.999875629376768,0.08,28
"592","lp__",-3.32828522488646,0.00891121847270443,0.767119119065582,-5.50556452669353,-3.51248203156479,-3.02894813306905,-2.83006233554288,-2.77313763863692,7410.56688388297,0.999959096019057,0.08,28
"593","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,29
"594","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,29
"595","CEchoices[3]",-0.157371998438302,0.017380760187089,1.66418860748256,-1,-1,-1,-0.115868493882363,4.88022008706741,9167.85117256836,1.00008998996982,0.08,29
"596","lp__",-3.33441462940518,0.00970729230635173,0.783046574426182,-5.57377219580208,-3.52023785093759,-3.02851723054663,-2.82868648821088,-2.77308322414559,6506.97253113426,1.00027881162934,0.08,29
"597","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,30
"598","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,30
"599","CEchoices[3]",-0.14664986102102,0.0177526506954526,1.67421001601202,-1,-1,-1,0.0759408004730943,4.98387513823544,8893.92485511792,0.99998731936084,0.08,30
"600","lp__",-3.33466333719617,0.00835088741351772,0.754545475283746,-5.48894381431774,-3.54098750197272,-3.0421457155576,-2.83106593024455,-2.77318609521869,8164.04859590048,1.00006336177474,0.08,30
